dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_pct_change,djia_pct_change
2016-09-01,13.48,2170.860107,3392120000.0,18419.3,74.78,23162.339844,-0.108025,0.33,1,79.8089635257026,72.0123443603516,2170.949951,-0.0041384648208353525,0.1001039080739563
2016-09-02,11.98,2179.97998,3091120000.0,18491.96,74.35,23266.699219,-0.104269,0.33,1,79.8089635257026,77.3738403320312,2170.860107,0.42010413156485793,0.39447753171943933
2016-09-06,12.02,2186.47998,3447650000.0,18538.12,83.71,23787.679688,-0.0940443,0.32,1,79.8089635257026,91.3391799926758,2179.97998,0.2981678758352535,0.24962199788447492
2016-09-07,11.94,2186.159912,3319420000.0,18526.14,67.57,23741.810547,-0.0927551,0.34,1,79.8089635257026,91.8739852905273,2186.47998,-0.014638505859998485,-0.06462359721481903
2016-09-08,12.51,2181.300049,3727840000.0,18479.91,79.06,23919.339844,-0.0919762,0.35,1,79.8089635257026,60.4115676879883,2186.159912,-0.22230135011277463,-0.24953929960584986
2016-09-09,17.5,2127.810059,4233960000.0,18085.45,120.67,24099.699219,-0.0917072,0.35,1,79.8089635257026,116.914161682129,2181.300049,-2.4522068857295465,-2.1345342049825966
2016-09-12,15.16,2159.040039,4010480000.0,18325.07,103.26,23290.599609,-0.0938302,0.37,1,79.8089635257026,137.54606628418,2127.810059,1.4677052525391865,1.3249324733418222
2016-09-13,17.85,2127.02002,4141670000.0,18066.75,102.83,23215.759766,-0.0953422,0.36,1,79.8089635257026,122.256446838379,2159.040039,-1.4830674013266876,-1.4096535511187613
2016-09-14,18.14,2125.77002,3664100000.0,18034.77,103.36,23190.640625,-0.0972355,0.33,1,79.8089635257026,115.554695129395,2127.02002,-0.058767665007686265,-0.1770102536427398
2016-09-15,16.3,2147.26001,3373720000.0,18212.48,99.56,23335.589844,-0.0995109,0.29,1,79.8089635257026,99.2352600097656,2125.77002,1.0109273250546558,0.98537436296664
2016-09-16,15.37,2139.159912,5014360000.0,18123.8,278.54,23335.589844,-0.102169,0.3,1,79.8089635257026,51.0339546203613,2147.26001,-0.37722949071267164,-0.4869188600344354
2016-09-19,15.53,2139.120117,3163000000.0,18120.17,78.09,23550.449219,-0.112504,0.3,1,79.8089635257026,255.727844238281,2139.159912,-0.0018603097307945404,-0.02002891225902914
2016-09-20,15.92,2139.76001,3140730000.0,18129.96,72.45,23530.859375,-0.116808,0.3,1,79.8089635257026,183.10676574707,2139.120117,0.02991384143951059,0.05402819068474063
2016-09-21,13.3,2163.120117,3712090000.0,18293.7,94.1,23669.900391,-0.121553,0.22,1,79.8089635257026,162.74104309082,2139.76001,1.0917162154086668,0.9031459528868302
2016-09-22,12.02,2177.179932,3552830000.0,18392.46,73.03,23759.800781,-0.126739,0.18,1,79.8089635257026,95.4630432128906,2163.120117,0.6499784681166743,0.539857983896086
2016-09-23,12.29,2164.689941,3317190000.0,18261.45,87.18,23686.480469,-0.13237,0.18,1,79.8089635257026,100.248756408691,2177.179932,-0.5736774814255385,-0.7123027588479158
2016-09-26,14.5,2146.100098,3216170000.0,18094.83,95.51,23317.919922,-0.151917,0.25,1,79.8089635257026,133.841125488281,2164.689941,-0.8587762454059567,-0.9124138554167383
2016-09-27,13.1,2159.929932,3437770000.0,18228.3,84.13,23571.900391,-0.159277,0.26,1,79.8089635257026,83.8624725341797,2146.100098,0.6444170061260746,0.7376140035579182
2016-09-28,12.39,2171.370117,3891460000.0,18339.24,97.65,23619.650391,-0.167057,0.27,1,79.8089635257026,115.891578674316,2159.929932,0.5296553758763256,0.6086140781093263
2016-09-29,14.02,2151.129883,4249220000.0,18143.45,95.88,23739.470703,-0.175261,0.26,1,79.8089635257026,104.655303955078,2171.370117,-0.9321411325289963,-1.0676014927554323
2016-09-30,13.29,2168.27002,4173340000.0,18308.15,135.47,23297.150391,-0.183892,0.29,1,79.8089635257026,120.288764953613,2151.129883,0.7967969361336813,0.9077656123835265
2016-10-03,13.57,2161.199951,3137550000.0,18253.85,68.52,23584.429688,-0.210977,0.32,1,92.5178482617544,64.8367385864258,2168.27002,-0.32606958242220596,-0.2965892239248813
2016-10-04,13.63,2150.48999,3750890000.0,18168.45,79.71,23689.439453,-0.219637,0.33,1,92.5178482617544,147.346496582031,2161.199951,-0.4955562300028915,-0.4678465090925954
2016-10-05,12.99,2159.72998,3906550000.0,18281.03,76.19,23788.310547,-0.228066,0.32,1,92.5178482617544,119.911956787109,2150.48999,0.429669054167503,0.6196455944232904
2016-10-06,12.84,2160.77002,3461550000.0,18268.5,78.66,23952.5,-0.236269,0.33,1,92.5178482617544,92.6933517456055,2159.72998,0.048156019948386586,-0.06854099577540129
2016-10-07,13.48,2153.73999,3619890000.0,18240.49,82.68,23851.820313,-0.244249,0.33,1,92.5178482617544,25.3189888000488,2160.77002,-0.3253483681710745,-0.15332402769794307
2016-10-10,13.38,2163.659912,2916550000.0,18329.04,72.11,23851.820313,-0.266514,0.33,1,92.5178482617544,90.0154266357422,2153.73999,0.4605905098135743,0.4854584498552361
